,Shift Start,Shift End,Hours,DoW,Date
0,2018-11-19 08:00:00,2018-11-19 16:00:00,8.0,Mon,2018-11-19
1,2018-11-20 08:00:00,2018-11-20 16:00:00,8.0,Tue,2018-11-20
2,2018-11-21 08:00:00,2018-11-21 19:00:00,11.0,Wed,2018-11-21
3,2018-11-26 08:00:00,2018-11-26 16:30:00,8.5,Mon,2018-11-26
4,2018-11-27 08:00:00,2018-11-27 17:00:00,9.0,Tue,2018-11-27
5,2018-11-28 08:00:00,2018-11-28 17:00:00,9.0,Wed,2018-11-28
6,2018-11-29 08:00:00,2018-11-29 17:30:00,9.5,Thu,2018-11-29
7,2018-11-30 08:00:00,2018-11-30 17:00:00,9.0,Fri,2018-11-30
8,2018-12-03 08:00:00,2018-12-03 17:00:00,9.0,Mon,2018-12-03
9,2018-12-05 08:00:00,2018-12-05 18:00:00,10.0,Wed,2018-12-05
10,2018-12-06 08:00:00,2018-12-06 17:00:00,9.0,Thu,2018-12-06
11,2018-12-07 08:00:00,2018-12-07 16:30:00,8.5,Fri,2018-12-07
12,2018-12-10 08:00:00,2018-12-10 17:30:00,9.5,Mon,2018-12-10
13,2018-12-11 08:00:00,2018-12-11 17:30:00,9.5,Tue,2018-12-11
14,2018-12-12 08:00:00,2018-12-12 17:00:00,9.0,Wed,2018-12-12
15,2018-12-13 08:00:00,2018-12-13 18:00:00,10.0,Thu,2018-12-13
16,2018-12-14 08:00:00,2018-12-14 16:30:00,8.5,Fri,2018-12-14
17,2018-12-17 08:00:00,2018-12-17 17:00:00,9.0,Mon,2018-12-17
18,2018-12-18 08:00:00,2018-12-18 17:00:00,9.0,Tue,2018-12-18
19,2018-12-19 08:00:00,2018-12-19 18:00:00,10.0,Wed,2018-12-19
20,2018-12-20 08:00:00,2018-12-20 17:00:00,9.0,Thu,2018-12-20
21,2018-12-21 08:00:00,2018-12-21 17:00:00,9.0,Fri,2018-12-21
22,2018-12-24 08:00:00,2018-12-24 16:00:00,8.0,Mon,2018-12-24
23,2018-12-26 08:00:00,2018-12-26 14:30:00,6.5,Wed,2018-12-26
24,2018-12-27 08:00:00,2018-12-27 17:00:00,9.0,Thu,2018-12-27
25,2018-12-28 08:00:00,2018-12-28 16:30:00,8.5,Fri,2018-12-28
26,2019-01-04 08:00:00,2019-01-04 17:00:00,9.0,Fri,2019-01-04
27,2019-01-07 07:30:00,2019-01-07 17:00:00,9.5,Mon,2019-01-07
28,2019-01-08 08:00:00,2019-01-08 14:00:00,6.0,Tue,2019-01-08
29,2019-01-10 08:00:00,2019-01-10 13:00:00,5.0,Thu,2019-01-10
30,2019-01-11 08:00:00,2019-01-11 17:00:00,9.0,Fri,2019-01-11
31,2019-01-14 08:00:00,2019-01-14 16:30:00,8.5,Mon,2019-01-14
32,2019-01-15 07:30:00,2019-01-15 20:00:00,12.5,Tue,2019-01-15
33,2019-01-16 08:00:00,2019-01-16 17:00:00,9.0,Wed,2019-01-16
34,2019-01-17 08:00:00,2019-01-17 17:30:00,9.5,Thu,2019-01-17
35,2019-01-18 08:00:00,2019-01-18 19:00:00,11.0,Fri,2019-01-18
36,2019-01-23 13:00:00,2019-01-23 18:30:00,5.5,Wed,2019-01-23
37,2019-01-24 08:00:00,2019-01-24 18:30:00,10.5,Thu,2019-01-24
38,2019-01-25 08:00:00,2019-01-25 18:00:00,10.0,Fri,2019-01-25
